จังหวัด,รหัส
กระบี่,81
กรุงเทพมหานคร,10
กาญจนบุรี,71
กาฬสินธุ์,46
กำแพงเพชร,62
ขอนแก่น,40
จันทบุรี,22
ฉะเชิงเทรา,24
ชลบุรี,20
ชัยนาท,17
ชัยภูมิ,36
ชุมพร,86
เชียงราย,57
เชียงใหม่,50
ตรัง,92
ตราด,23
ตาก,63
นครนายก,26
นครปฐม,73
นครพนม,48
นครราชสีมา,30
นครศรีธรรมราช,80
นครสวรรค์,60
นนทบุรี,11
นราธิวาส,96
น่าน,55
บึงกาฬ,38
บุรีรัมย์,31
ปทุมธานี,12
ประจวบคีรีขันธ์,77
ปราจีนบุรี,25
ปัตตานี,94
พระนครศรีอยุธยา,13
พะเยา,56
พังงา,82
พัทลุง,93
พิจิตร,66
พิษณุโลก,65
เพชรบุรี,76
เพชรบูรณ์,67
แพร่,54
ภูเก็ต,83
มหาสารคาม,44
มุกดาหาร,49
แม่ฮ่องสอน,58
ยโสธร,35
ยะลา,95
ร้อยเอ็ด,45
ระนอง,85
ระยอง,21
ราชบุรี,70
ลพบุรี,15
ลำปาง,52
ลำพูน,51
เลย,42
ศรีสะเกษ,33
สกลนคร,47
สงขลา,90
สตูล,91
สมุทรปราการ,-10
สมุทรสงคราม,75
สมุทรสาคร,74
สระแก้ว,27
สระบุรี,18
สิงห์บุรี,16
สุโขทัย,64
สุพรรณบุรี,72
สุราษฎร์ธานี,84
สุรินทร์,32
หนองคาย,43
หนองบัวลำภู,39
อ่างทอง,14
อำนาจเจริญ,37
อุดรธานี,41
อุตรดิตถ์,53
อุทัยธานี,61
อุบลราชธานี,34